Gewicht;Koerperdichte;Alter;Groesse_cm;Halsumfang;Brustumfang;Bauchumfang;Hueftumfang;Oberschenkelumfang;Vorderarmumfang;Bizeps
89,2;1,048;49;187;40,7;103,5;95,5;101,6;59,1;30,3;31
80,3;1,0412;43;176;39,6;104;98,6;99,5;59,5;27,2;30,1
75,1;1,0578;43;174;31,1;93,1;87,3;96,6;54,7;29,4;31
90,8;1,0547;43;187;38,6;105,2;102,8;103,6;61,2;28,5;30,5
92,2;1,0569;52;189;42;110;101,6;100,7;55,8;29,6;35,1
88;1,0593;43;192;38,5;110,1;88,7;102,1;57,5;30,7;35,1
76,4;1,05;40;176;34,2;97,8;92,3;100,6;57,5;26;32,1
77,5;1,0538;43;174;37,2;96,3;90,6;99,3;61,9;28,2;33,3
83,1;1,0355;43;178;37,1;108;105;103;63,7;27,8;33,5
80,9;1,0486;47;178;40,2;99,7;95;98,6;62,3;31,1;35,3
73,9;1,0503;42;178;35,3;93,5;89,6;99,8;61,5;27,6;30,7
79,5;1,0384;48;182;38;100,7;92,4;97,5;59,3;27,3;31,8
71,7;1,0607;40;176;36,3;97;86,6;92,6;55,9;26,3;29,8
80,4;1,0529;48;185;36,8;96;90;99,7;58,8;28;29,9
81,2;1,0671;51;183;41;99,2;90;96,4;56,8;29,8;33,4
86,6;1,0404;40;188;38,3;95,4;92,4;104,3;64,6;29,5;33,6
85;1,0575;44;184;38;101,8;87,5;101;58,5;28,6;32,1
93,7;1,0358;52;189;40,8;104,3;99,2;104,1;58,5;31,2;33,9
84;1,0414;44;182;39,5;99,2;98,1;101,4;57,1;29,6;33
72,7;1,0652;40;175;36,9;99,3;83,3;97,5;60,5;28;34,4
68,7;1,0623;47;170;36,9;94;86,1;95,2;58,1;27,5;30,6
73;1,0674;50;169;37,7;98,9;84,1;94;58,5;29,2;34,4
75,7;1,0587;46;170;36,6;101;89,9;100;60,7;30,2;35,6
80,5;1,0373;42;175;38,9;98,7;92,1;98,5;60,7;30,3;33,8
69,1;1,059;43;172;37,5;95,9;78;93,2;53,5;28,2;33,9
87,2;1,0515;40;186;39,8;103,9;93,5;99,5;61,7;29,6;33,3
75;1,0648;42;177;38,3;96,2;87;97,8;57,4;27,8;31,6
77,9;1,0575;49;182;35,5;97,8;90,1;95,8;57;26,5;27,5
77,7;1,0472;40;179;36,3;94,6;90,3;99,1;60,3;28,4;31,2
89,4;1,0452;47;186;37,8;103,6;99,8;103,2;61,2;28,6;33,5
71,2;1,0398;50;170;37,8;100,4;89,4;92,3;56,1;29,3;33,6
76,3;1,0435;41;177;36,5;98,4;87,2;98,4;56;29,8;34
84,4;1,0374;44;177;37,8;104,6;101,1;102,1;58,9;28,8;30,9
75,6;1,0491;39;180;37;92,9;86,1;95,6;58,8;28,3;32,7
85,2;1,0325;43;188;37,7;97,8;98,6;100,6;63,6;28,4;34,3
76,3;1,0481;40;181;34,3;98,3;88,5;98,3;58,1;27,4;31,7
96,5;1,0522;49;191;40,8;104,7;106,6;107,7;66,5;29,8;35,5
80,2;1,0422;40;180;37,4;98,6;93,1;101,6;59,1;27,9;30,8
78,6;1,0571;40;177;36,5;99,5;93;99,3;60,4;28,5;32
75,7;1,0459;52;172;37,5;102,7;91;98,9;57,1;27,5;31,6
72,5;1,0775;23;184;35,5;92,1;77,1;93,9;56,1;27,2;30,5
85,3;1,0754;23;197;38;96,6;85,3;102,5;59,1;29,7;31,8
70,8;1,0664;24;180;35,7;92,7;81,9;95,3;56,4;28,3;33,5
94,6;1,055;24;185;39,2;102;99,1;110,1;71,2;30,3;36,1
93,7;1,0322;25;177;40,9;110,9;100,5;106,2;68,4;29,7;33,3
65,2;1,0873;25;184;35,2;92,3;76,5;92,1;51,9;25,2;25,8
101,2;1,0416;26;178;40,6;114,1;106,8;113,9;67,6;30,4;36
69,1;1,0776;26;175;35,4;92,9;77,6;93,5;56,9;29;31,6
109,7;1,0542;26;189;41,8;108,3;102,9;114,4;72,9;33,8;38,5
66,2;1,0758;27;184;34,1;88,5;72,8;91,1;53,6;26,3;27,8
71,1;1,061;27;171;37,9;94;88,2;95,2;56,8;28,3;30,6
90,8;1,051;27;187;38,2;101,1;100,1;105;62,1;29,2;33,7
77,8;1,0594;28;191;35,6;92,1;83,5;98,3;57,3;27,7;32,2
93,3;1,0287;28;175;38,5;105,6;105;106,4;68,6;30,7;35,2
82,8;1,0761;28;184;37;98,5;90,8;102,5;60,8;28;31,6
61,9;1,0704;30;175;35,9;88,7;76,6;89,8;50,1;34,9;27
80,4;1,0477;31;182;36,2;101,1;92,4;99,3;59,4;28,2;30,1
68,6;1,0775;31;184;35;94;81,2;91,5;52,5;26,3;27
88,9;1,0653;33;185;38,5;103,8;95,6;105,1;61,4;29,2;31,3
83,6;1,069;33;175;40,7;98,9;92,1;103,5;64;30,6;33,5
63,5;1,0644;34;179;36;89,2;83,4;89,6;52,4;26,2;28,3
99,2;1,037;34;183;39,5;111,4;106;108,8;63,8;31,2;34
98,4;1,0549;35;187;40,5;107,5;95,1;104,5;64,8;33,7;36,4
75,4;1,0492;35;173;38,5;99,1;90,4;95,6;55,5;28,7;30,2
101,9;1,0525;35;184;43,9;108,2;100,4;106,8;63,3;33,1;37,2
103,5;1,018;35;177;40,4;114,9;115,9;111,9;74,4;31,8;36,1
78,4;1,061;35;177;37,6;99,1;90,8;98,1;60,1;29,8;32,5
69,1;1,0926;35;172;37;92,2;81,9;92,8;54,7;27,4;30,4
57;1,0983;35;166;34;90,8;75;89,2;50;25,9;24,8
80,4;1,0521;35;180;38,4;100,5;90,3;98,7;57,8;28,7;31
79,9;1,0603;36;182;38,7;98,2;90,3;99,9;59,2;28,4;32,4
102,9;1,0414;36;182;41,5;115,3;108,8;114,4;69,2;21;35,4
65,9;1,0763;37;176;36;96,8;79,4;89,2;50,3;26,9;31
68,5;1,0689;37;170;35,3;92,6;83,2;96,4;60;26,6;31,5
109,4;1,0316;37;182;42,1;119,2;110,3;113,9;69,8;29,5;34,4
84,9;1,0477;38;176;38;102,7;92,7;101,9;64,7;30,3;34,8
106,5;1,0603;39;189;42,8;109,5;104,5;109,9;69,5;32,5;39,1
99,5;1,0387;39;189;40;108,5;104,6;109,8;68,1;29;35,6
53,8;1,1089;40;173;33,8;79,3;69,4;85;47,2;24,6;27,7
66,1;1,0725;40;171;35,5;95,5;83,6;91,6;54,1;28,3;31,4
72,2;1,0713;40;177;35,3;92,3;86,8;96,1;58;26,4;30
77,3;1,0587;40;189;37,7;98,9;90,4;95,5;55,4;28,9;30,5
76;1,0794;40;182;39,4;89,5;83,7;98,1;57,3;29,3;32,9
105,6;1,0453;41;189;41,9;117,5;109,3;108,8;67,7;31,8;37,2
95,5;1,0524;41;183;38,5;107,4;98,9;104,1;63,5;30,4;36,4
91,7;1,052;41;184;40,8;109,2;98;101,8;62,8;32,4;36,6
83,9;1,0434;41;173;38;103,4;101,2;103,1;61,5;29,2;33,4
69,4;1,0728;41;176;36,4;91,4;80,6;92,3;54,3;27,3;29,6
110,8;1,014;42;193;41,8;115,2;113,7;112,4;68,5;31,2;37,1
87,8;1,0624;42;179;40,7;104,9;94,1;102,7;60,6;30,1;34
101,9;1,0429;42;190;38,5;106,7;105,7;111,8;65,3;29,9;33,7
73,8;1,047;42;185;35,4;92,2;85,6;96,5;60,2;27,1;31,7
81,6;1,0411;42;173;38,5;101,6;96,6;100,6;61,1;29,8;32,9
70,9;1,0488;42;175;35,5;97,8;86;96,2;57,7;27,3;31,2
76,2;1,0583;42;182;36,5;92;89,7;101;62,3;27,8;30,8
75,9;1,0841;42;185;37,6;94;78;99;57,5;30;30,6
77,5;1,0462;43;171;37,4;103,7;89,7;94,2;58,5;28,8;33,8
80,9;1,0709;43;178;37,8;102,7;89,2;99,2;60,2;28,4;31,7
68;1,0484;43;176;35,2;91,1;85,7;96,9;55,5;26,6;29,4
90,9;1,034;43;182;37,9;107,2;103,1;105,5;68,8;28,9;32,1
83,5;1,0854;44;188;37,9;100,8;89,1;102,6;60,6;29,2;32,9
101,2;1,0209;44;177;40,9;121,6;113,9;107,1;63,5;30,7;34,8
94,7;1,061;44;185;41,9;105,6;96,3;102;63,3;23,1;37,3
75,3;1,025;44;166;39,1;100,6;93,9;100,1;58,9;29,5;33,1
88,5;1,0254;47;184;40,2;102,7;101,3;101,7;60,7;31,6;36,7
72,8;1,0771;47;178;36;99,8;83,9;91,8;53;27,5;31,4
72,5;1,0742;47;180;34,5;92,9;84,4;94;56;26,2;29
63,7;1,0829;49;173;35,8;91,2;79,4;89;51,1;28,8;30,9
98,1;1,0373;49;189;40,2;115,6;104;109;63,7;31;36,8
76,3;1,0543;49;182;38,3;98,3;89,7;99,1;56,3;27,9;29,5
88,3;1,0561;50;180;39;103,7;97,6;104,2;60;30;32,7
78,4;1,0543;50;185;37,4;98,7;87,6;96,1;57,1;26,7;28,6
99,3;0,995;51;163;41,2;119,8;122,1;112,8;62,5;29,1;34,7
67,7;1,0678;51;177;34,8;92,8;81,1;96,3;53,8;26,3;31,3
70,1;1,0819;51;178;36,9;93,3;81,5;94,4;54,7;25,9;27,5
90,4;1,0433;52;182;39,4;106,8;100;105;63,9;30,4;35,7
70,1;1,0646;53;176;37,6;93,9;88,7;94,5;53,7;25,7;28,5
69,5;1,0706;54;179;38,5;99;91,8;96,2;57,7;29,9;31,4
104,3;1,0399;54;184;42,5;119,9;110,4;105,5;64,2;32;38,4
73,4;1,0726;54;171;37,4;94,2;87,6;95,6;59,7;27;27,9
64,5;1,0874;55;171;35,2;92,7;82,8;91,9;54,4;26,8;29,4
81,5;1,074;55;175;41,1;106,9;95,3;98,2;57,4;31,1;34,1
57,4;1,0703;55;170;33,4;88,8;78,2;87,5;50,8;22;25,3
76,9;1,065;55;173;37,2;101,7;91,1;97,1;56,6;29,3;33,4
90;1,0418;55;189;38,3;105,3;96,7;106,6;64;30;33,2
79,2;1,0647;56;177;38,1;104;89,4;98,4;58,4;30,1;34,6
76,1;1,0601;56;174;37,4;98,6;93;97;55,4;29,7;32,4
67;1,0745;57;167;35,2;99,6;86,4;90,1;53;27,3;31,7
82,7;1,062;57;182;39,4;103,4;96,7;100,7;59,3;29,1;31,8
79,6;1,0636;58;182;38;100,2;88,1;97,8;57,1;29,6;30,9
73,4;1,0384;58;171;35,1;94,9;94,9;100,2;56,8;26,1;27,8
71,6;1,0403;60;171;40,4;97,2;93,3;94;54,3;28,7;31,3
76,5;1,0563;62;171;38,3;104,7;95,6;93,7;54,4;26,3;30,3
86,9;1,0424;62;184;40,6;104;98,2;101,1;59,3;28,5;32,6
99,4;1,0372;63;177;40,2;117,6;113,8;111,8;63,4;29,6;35,1
70,4;1,0705;64;177;37,9;95,8;82,8;94,5;61,2;28,9;29,8
86,1;1,0316;65;167;40,8;106,4;100,5;100,5;59,2;30,5;35,9
57,8;1,0599;65;167;34,7;93;79,7;87,6;50,7;24,8;28,5
101,8;1,0207;65;173;38,8;119,6;118;114,3;61,3;30,1;34,9
106,3;1,0304;66;183;41,4;119,7;109;109,1;63,7;30,7;35,6
103,3;1,0256;67;185;41,3;115,8;113,4;109,8;65,6;29,8;35,3
90,5;1,0334;67;174;40,7;118,3;106,1;101,6;58,2;29,3;32,1
70,5;1,0641;68;176;36,3;97,4;84,3;94,4;54,3;27,3;29,2
97,7;1,0308;69;179;40,8;113,7;107,6;110;63,3;32,6;37,5
60,9;1,0736;70;170;34,9;89,2;83,6;88,8;49,6;25,7;25,6
91,2;1,0236;72;177;40,9;108,5;105;104,5;59,6;28,6;35,2
84,7;1,0328;72;168;38,9;111,1;111,5;101,7;60,3;27,2;31,3
86,5;1,0399;72;179;38,9;108,3;101,3;97,8;56;29,4;30,5
94,1;1,0271;74;178;40,8;112,4;108,5;107,1;59,3;30;33,7
